second_fit_index,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err,fit_p,fit_p_err
12,475,9861,1.4002910844846814,0.8559921400285055,766.3902859404315,-31.193565688408924,17.08899924565769,35.56785677511609,0.0,1.0401943136104883,-258.4752975542741,-220.47635412773775,31.95490699153089,141.60241278756604,99.91524020550396,31.303753357564425,242.05965784240706,31.844904453036655
13,556,9642,3.150332247396144,1.0266886538231188,581.1832762373969,-13.626151347620503,28.23460502577178,31.35067657179981,0.0,1.049987518531728,-112.9086542807293,-137.78149015429335,31.79761781483152,233.9568361072481,219.1166056652508,32.17430320127204,258.8355190220203,32.0680160020644
14,576,9733,2.976955925180019,1.4547152924367677,329.8159431350763,0.457695769777411,-30.43553184500133,30.43897311188013,1.0,0.8754050327761802,3.7925465611809983,17.312483318148598,32.20583989640272,-252.1940976046385,-248.14697205322028,32.61880903080453,248.75015943275866,32.6168212664228
15,656,9823,1.8359307386424428,0.8678950099994327,797.9639048790863,12.500978561838224,24.59499825884655,27.589643063225807,0.0,0.994017241711699,103.58527735389356,135.7188463569358,31.461149245466626,203.7984229441413,212.05024899700533,31.37055779138379,251.76360609935168,31.396910538539807
16,702,9647,2.7488935718910694,0.959307017980425,609.2373796996773,15.68440080339482,20.632538768267565,25.917215988327065,0.0,0.9847074431806232,129.96366638919997,150.32130186516426,31.61117863567212,170.96479609606544,203.32447938205965,31.34326717718099,252.85833525993056,31.43821229898193
17,729,9632,3.289566220606704,0.9847587795592968,650.8942160531685,-9.038220475989087,23.23204036309504,24.92823958495797,0.0,0.9742663981785872,-74.89226304642993,-55.03030560594979,31.45061273198762,192.50471733903876,151.60844693509833,31.243920336812906,161.28687397664063,31.2680525284174
18,733,9760,1.505563921197102,1.4507215337648471,921.040404926443,21.33663483281841,-12.781010407901483,24.871795533011404,1.0,1.0192100565576805,176.79905825158423,169.015541063422,36.276508863585136,-105.90566981748326,-106.40490914007457,33.33540160143003,199.72044915348255,35.466493735768985
19,757,9734,2.567585300216503,1.3779351414985066,904.9174573719866,-23.807966896261284,5.490088740336213,24.432772296860616,0.0,1.0258037086017535,-197.2769445193659,-192.1991888407341,32.031973699483544,45.49182786388129,12.892202325820072,31.92378746380069,192.63109061583503,32.03148992525982
20,792,9887,1.1477038256515248,0.7718949982558877,1259.4624476901497,12.579054393747755,19.444654881108303,23.15873944942328,0.0,1.031426481941736,104.2322272436945,110.42645323312192,31.732216228742388,161.1217841024892,150.73352346523956,31.513178695265797,186.85447992995188,31.58985063626721
21,838,9837,1.41617280777493,1.0022260386211457,510.7032289811768,-6.684734772656474,21.198638050510333,22.22763896992452,0.0,0.9289903230402008,-55.39087216553204,-26.80968272238881,31.618911477460053,175.65559297015707,191.04525004058004,31.554794515914395,192.91720154186072,31.556034016819915
22,882,9643,2.579313877170057,0.8568432171980903,497.2184463934733,-12.400405312774854,17.450154399202912,21.40742722694896,0.0,1.0844879647866714,-102.7519099621268,-126.0808215265793,31.753652437633463,144.59500705230406,113.20674472345272,31.55864200813666,169.4465715430623,31.666757218825396
23,886,9807,1.516067224006115,1.1266124035913023,849.0778049932655,-20.016850065476422,7.432873287657799,21.352327551209505,0.0,1.0738125212583898,-165.863092679265,-145.7045361352147,31.58552994454176,61.5900777070978,102.55507354503106,32.065890285488464,178.1778744968208,31.745473088791947
24,890,9663,2.4806640236898354,0.8751090696129726,776.3934891890467,-7.058222416263289,-20.10683962331276,21.30970443988048,1.0,0.9437922432237192,-58.4856555826772,-74.70442189482603,32.27830123470755,-166.60876176919425,-124.58816940833606,31.843720994336216,145.26858781980502,31.959221972940107
