flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,norm_true,fit_norm_arr,norm_error,fit_error,chi2dof,num_ps
1982,9667,3.562590879379344,1.164137224418048,365.0785883145912,20.47562057285946,0.5903828741531476,20.484130193439967,0.0008890819032349321,0.0008874468200891964,3.293771482815427e-06,0.0018390692013710039,0.9381745610334987,1.0
2009,9748,2.134689848024203,1.1188433232333546,361.8811235734044,-8.086653369387138,-4.869474015808354,9.43958367234769,0.0008812950646510947,0.000877136128159851,3.2856497469937367e-06,0.0047191192349298125,0.9551744723291485,1.0
2010,9819,1.3238746310613267,1.132332624499048,361.8770079674221,-10.54858111206333,6.318792971171069,12.296329049366731,0.0008812850418480139,0.0008811547483987804,3.2516430450757515e-06,0.00014784484366172075,0.9879226361197745,0.0
2022,9683,2.797158263496499,1.1392737145536882,359.0395832980691,-1.949150497936045,0.3334445646256445,1.9774662933366824,0.0008743750147851825,0.0008770444858342,3.2537969459730176e-06,0.003053004722091018,0.9696342486644065,0.0
2027,9865,1.57705947004368,0.8020922829639455,358.3755108206668,5.030992800528157,-10.306560872419306,11.468918239130089,0.0008727577881359274,0.0008778592753246617,3.25379763989797e-06,0.005845249687923358,0.9415937763993036,0.0
2028,9746,2.158972284716985,1.0258608002251488,357.894268581764,-21.557949148298697,-34.25097414030217,40.47066099089908,0.0008715858109798416,0.0008717411702903987,3.261427342801616e-06,0.00017824901300597128,0.9963816292229903,0.0
2047,9811,0.9313336329476498,1.214893099611181,355.39606622072705,7.019568037107598,-1.2764944031693304,7.134688037251891,0.0008655018975954094,0.0008672811524133768,3.2473846620625153e-06,0.0020557491819608534,1.1053225768180384,0.0
2062,9724,3.382680064506099,1.444729991781038,353.3688977970649,-4.148456207930169,0.5758522529096824,4.188232888259142,0.0008605651009221019,0.000862935445733955,3.280338579010188e-06,0.002754404994245275,0.9878190219616279,1.0
2085,9619,3.381214131467104,0.9341723825554245,349.12004218058416,10.555420853194953,-1.6324998399871022,10.680915930556742,0.0008502177928109619,0.0008520855576827442,3.257056268684373e-06,0.0021968075563406062,1.0376854098070312,0.0
2110,9713,3.8183313623424486,1.4063549641027075,345.67950256539257,-6.566976318666436,3.639765042677821,7.508200019700144,0.0008418389899801757,0.0008387409439400332,3.253785927727186e-06,0.003680093315962302,1.0015852795332563,0.0
2118,9826,0.9151916627006884,1.1429462673679935,344.5835603466076,-18.126850250459988,-2.165999226457315,18.255800520700674,0.0008391700238317879,0.0008383179535092341,3.306644347641661e-06,0.0010153726877219086,1.0441830118656021,1.0
2119,9686,2.463458323407492,0.9538697851436484,344.40595865286525,7.383397452528525,1.717089286650061,7.580432280571678,0.0008387375074998409,0.0008316805666030009,3.254871955060408e-06,0.008413765729728438,0.9513487972233762,0.0
2120,9895,1.4350390270670172,0.711961856066722,344.4016957259386,-11.041701336197576,3.9017443309389694,11.710797463102235,0.0008387271259236363,0.0008380678876768553,3.2527138381333812e-06,0.000785998480799126,1.1105524022911606,0.0
2161,9777,0.6496503326867782,1.4091550230398144,339.9560773770931,2.134121414445776,-0.4729173132718088,2.1858922655950512,0.0008279006382873857,0.0008230372536555097,3.2559405981913707e-06,0.005874357872143424,1.0626574118626548,0.0
2162,9872,1.540291478397792,0.7805420973497917,339.8629699468938,-2.317473230252796,-0.5696364130155848,2.3864550731098184,0.0008276738922280536,0.0008257293462902419,3.2548678062774197e-06,0.002349410747483032,1.0306651330661223,0.0
2172,9669,2.931560217907723,1.1090198046419295,338.2573949658474,-10.80419035631238,-8.651144451473913,13.84098369248737,0.0008237638090141209,0.0008215442456466106,3.335869692977771e-06,0.002694417190003406,0.9660923477655217,2.0
