Unnamed: 0,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,q_amp_true,q_amp_fit,q_amp_err,fit_error_q,u_amp_true,u_amp_fit,u_amp_err,fit_error_u,chi2dof,num_ps
72,1533,9669,2.931560217907723,1.1090198046419295,333.5765549705207,-10.654680878945133,-8.531429040794135,13.64945076221987,-2.4024584984289727e-05,-2.7169750236495877e-05,5.4268128711769165e-06,0.13091444677453748,-1.923699492802534e-05,-2.5353587980141612e-05,5.403064143578702e-06,0.3179599035608903,1.0062136605386658,0.0
73,1536,9779,1.7561643496996635,1.2124623725359045,725.2997905992311,-6.626351993897766,11.92781234047859,13.644824952219292,-1.4941353797634877e-05,-1.8294719983607372e-05,5.438826363868092e-06,0.2244352306618502,2.689529085913445e-05,1.947266410490451e-05,5.432330728637278e-06,0.2759823938363913,1.0411790461367592,0.0
74,1555,9827,0.6029969505865655,1.1294729727812989,326.5842590680864,11.233336529808096,-7.420469445803442,13.46295719327754,2.5329360042195833e-05,1.6462945663011405e-05,5.463641517448143e-06,0.3500449424862685,-1.6731960426550108e-05,-1.2269349550269942e-05,5.443673627459418e-06,0.2667117756983778,1.023818843795271,0.0
75,1556,9819,1.3238746310613267,1.132332624499048,396.0330951144865,-11.54421843581933,6.915197933729527,13.456929135451668,-2.603034854254633e-05,-2.8066989657125007e-05,5.474956314925356e-06,0.07824102359789034,1.5592654752370014e-05,1.872379089401543e-05,5.507046675219652e-06,0.20080840571227923,0.857310601352065,0.0
76,1559,9781,1.9062397579131407,1.0621982295542785,706.9459858276444,-13.430402948414557,-0.0509493564084107,13.430499588388392,-3.0283390058641133e-05,-3.2388103230125784e-05,5.514321213477341e-06,0.06950057993537247,-1.1488257197337243e-07,-3.6941978388601985e-06,5.470229470776026e-06,31.156294687730725,0.9101222516556009,0.0
77,1565,9637,3.156421849681913,0.992666249261854,672.8846670536315,-11.671373607090564,6.540412809693398,13.379011981364382,-2.6317062922179642e-05,-3.227787716115669e-05,5.433829730731632e-06,0.2264999805108706,1.4747574813744486e-05,1.3243110434518757e-05,5.428421739132362e-06,0.10201435817254471,1.066412305631995,0.0
78,1574,9769,1.7229229980835914,1.3044892317477164,386.3661284009719,-10.053129645158377,-8.676232752788641,13.279398722943917,-2.2668184083811034e-05,-2.063750931559702e-05,5.488834703624361e-06,0.08958259561974632,-1.956350391730227e-05,-1.9810292266229056e-05,5.451211435297831e-06,0.012614731490329923,1.086219833698257,0.0
79,1585,9873,0.8872571967298988,0.8316787269888251,446.6254922522706,4.825673478446292,12.264129495666156,13.179377709400718,1.0881114498554938e-05,1.6567809884900564e-05,5.494801314806811e-06,0.52262067337871,2.7653631739380332e-05,2.9403117849930338e-05,5.42323667338375e-06,0.06326424417009355,0.8895335563994481,0.0
80,1600,9695,2.8781732200740646,1.2472535709787684,921.7184990436672,0.1550845726031158,-13.031223586954132,13.032146384914853,3.4969066991189724e-07,1.543518063518558e-05,5.477652479629071e-06,43.13952662527254,-2.9383305053530223e-05,-3.4426436963335577e-05,5.505592922252551e-06,0.17163256143642874,0.9532349103058735,0.0
81,1609,9650,2.722748148521543,0.956379859818519,439.21153388155705,12.949647967489543,0.2735302848921325,12.95253648127112,2.9199365203548798e-05,3.588383608661542e-05,5.440848378505416e-06,0.22892521246503728,6.167666258455433e-07,-1.1953485667604209e-06,5.454756833846603e-06,2.938088924837142,0.9892221259506563,0.0
82,1621,9804,1.179428428423965,1.2161082636981762,363.7705229186488,-8.6621074683098,9.50695226364771,12.861347018715604,-1.953165368159415e-05,-1.670910624490394e-05,5.492340188408186e-06,0.1445114419241453,2.143664227906963e-05,2.8972700732443147e-05,5.4944576119423565e-06,0.351550320020575,1.080980449108554,0.0
83,1639,9618,2.5435877361959465,0.7528153711172683,991.0955193405108,6.091893088791173,11.203660495109322,12.75277106729886,1.3736235265017217e-05,2.4698624848460164e-05,5.515044310867574e-06,0.7980636158264873,2.526244537570157e-05,2.5541981070297936e-05,5.463470269279503e-06,0.011065266661209109,0.8978869756015896,0.0
84,1643,9698,2.3931103439215167,0.9768418660579674,562.4744443395085,11.805536392462471,4.673825583471784,12.697060096670851,2.6619578340099464e-05,2.538002183650979e-05,5.47706079742817e-06,0.046565594982487676,1.0538722014073342e-05,8.415228370789625e-06,5.4542857048101305e-06,0.2014944165381739,0.9711112318699545,0.0
85,1656,9812,1.5463968876297365,1.091390750397553,437.06843772530783,-5.982692910196116,11.070831651391863,12.58395517757318,-1.3490006494698918e-05,-2.222534074397401e-05,5.437822526009958e-06,0.6475411448250793,2.4962937780822675e-05,2.5901868539331867e-05,5.389725291634056e-06,0.037612991177284796,1.0194636759504139,0.0
