second_fit_index,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err,fit_p,fit_p_err
89,1996,9634,3.3225829280302195,0.997240003325038,447.0,9.653321318169109,4.08129344512292,10.480628256789831,3.0,1.0010105099851585,1431.1114165646284,3526.2658590499946,1513.288779479259,605.0545145195254,-2978.6863265917814,1531.7687919171717,4615.963944933543,1521.0113868316323
6,446,9641,3.0962038789677027,1.0188201606618688,439.0,-35.98509279799249,-18.140920083301594,40.29913007930651,0.0,0.9757136035352632,-652.9555895260526,-652.4474144126018,79.80059545094974,-329.1700603367073,-273.95452396367074,79.80506957628054,707.6289350880522,79.80126605208206
8,457,9850,0.8618008418776082,0.976007950926918,555.0,3.430888712143365,-39.58567045793543,39.73406980110865,1.0,1.0238403662063975,62.2540554282196,-52.66024232260798,81.57800074697411,-718.2886795858768,-806.8470269199435,81.79983805331528,808.563680838453,81.79889836239185
12,528,9861,1.4002910844846814,0.8559921400285055,731.0,-29.75311265884087,16.299865326772593,33.92540821509154,1.0,1.0040677153538726,-539.8752568305813,-481.0537299179646,81.20778434819456,295.76381068084424,300.2153556415942,81.97125287513629,567.0466919319739,81.42250915515207
13,546,9694,2.4866819015914485,1.0589021011364903,522.0,8.462614228760895,32.16878211950121,33.2632888126951,1.0,0.9681954230483302,153.55556518060155,143.04131588152623,81.67490202097662,583.7079873904299,546.5692703105731,83.03978253831383,564.9768006714531,82.95296657286757
15,614,9647,2.7488935718910694,0.959307017980425,701.0,18.046766875334576,23.740187582851995,29.82083669385675,2.0,0.9944403310909664,327.46163446827927,288.06816465876983,85.34304895231018,430.7697152717909,122.4108109838021,111.1403153740844,312.99788199855965,89.77032808235619
16,699,9632,3.289566220606704,0.9847587795592968,707.0,-9.817297064446974,25.234595932200616,27.0770041458252,2.0,0.9927695042136464,-178.13651414637926,-223.8718739869747,84.75424187752212,457.8860072935811,555.1025954506856,81.02257544543636,598.5461614934368,81.55489206867215
18,831,9760,1.505563921197102,1.4507215337648471,870.0,20.1542431854925,-12.072737520958514,23.493499305763933,1.0,1.0014889747961715,365.7021482342498,412.3011640309944,86.93198534681818,-219.06186235069345,-147.05714267781832,88.43284653028329,437.7419937290426,87.10266554010083
19,847,9734,2.567585300216503,1.3779351414985066,856.0,-22.520970832395115,5.193308984640304,23.112000896580486,0.0,1.0134128558650888,-408.64682131335087,-502.3019602503131,79.79033401800683,94.23346908378488,42.60856313222188,79.75507663988743,504.1058905859954,79.79008218945427
20,851,9887,1.1477038256515248,0.7718949982558877,1253.0,12.51450980874625,19.3448821048317,23.03990927506104,0.0,1.0080796224864643,227.07789516261403,202.4798710577884,79.7610400201811,351.01615466105,419.85899026969287,79.69969115843332,466.1326741324455,79.71127057550935
